jurisdiccion,edad_grupo,sexo,nacimientos
CABA,25 a 29,masculino,137
CABA,25 a 29,masculino,3
CABA,25 a 29,masculino,36
CABA,25 a 29,masculino,111
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,2
CABA,25 a 29,masculino,7
CABA,25 a 29,masculino,3
CABA,25 a 29,masculino,2
CABA,25 a 29,masculino,9
CABA,25 a 29,masculino,80
CABA,25 a 29,masculino,272
CABA,25 a 29,masculino,299
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,7
CABA,25 a 29,masculino,3
CABA,25 a 29,masculino,4
CABA,25 a 29,masculino,13
CABA,25 a 29,masculino,57
CABA,25 a 29,masculino,62
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,5
CABA,25 a 29,masculino,8
CABA,25 a 29,masculino,7
CABA,25 a 29,masculino,3
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,3
CABA,25 a 29,masculino,56
CABA,25 a 29,masculino,262
CABA,25 a 29,masculino,280
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,2
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,4
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,2
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,6
CABA,25 a 29,masculino,9
CABA,25 a 29,masculino,13
CABA,25 a 29,masculino,6
CABA,20 a 24,masculino,7
CABA,20 a 24,masculino,6
CABA,20 a 24,masculino,2
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,6
CABA,20 a 24,masculino,39
CABA,20 a 24,masculino,112
CABA,20 a 24,masculino,108
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,8
CABA,20 a 24,masculino,8
CABA,20 a 24,masculino,3
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,5
CABA,20 a 24,masculino,59
CABA,20 a 24,masculino,188
CABA,20 a 24,masculino,190
CABA,20 a 24,masculino,2
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,9
CABA,20 a 24,masculino,36
CABA,20 a 24,masculino,26
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,2
CABA,20 a 24,masculino,9
CABA,20 a 24,masculino,23
CABA,20 a 24,masculino,35
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,2
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,1
CABA,20 a 24,masculino,9
CABA,20 a 24,masculino,28
CABA,20 a 24,masculino,24
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,7
CABA,25 a 29,masculino,13
CABA,25 a 29,masculino,15
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,1
