"anio";"jurisdiccion_de_residencia_id";"jurisdicion_residencia_nombre";"edad_madre_grupo";"instruccion_madre";"tipo_de_parto_id";"tipo_de_parto_nombre";"semana_gestacion";"intervalo_peso_al_nacer";"sexo_id";"Sexo";"nacimientos_cantidad"
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"8.De 3500 y más";1;"masculino";137
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"5.2000 a 2499";1;"masculino";3
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";1;"masculino";36
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";1;"masculino";111
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"3.24 a 27";"3.1000 a 1499";1;"masculino";1
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"4.28 a 31";"4.1500 a 1999";1;"masculino";1
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"4.1500 a 1999";1;"masculino";2
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"5.2000 a 2499";1;"masculino";7
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"6.2500 a 2999";1;"masculino";3
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"4.Secundaria/Polimodal Incompleta";1;"Simple";"5.32 a 36";"7.3000 a 3499";1;"masculino";2
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"6.37 a 41";"5.2000 a 2499";1;"masculino";9
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"6.37 a 41";"6.2500 a 2999";1;"masculino";80
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"6.37 a 41";"7.3000 a 3499";1;"masculino";272
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"5.Secundaria/Polimodal Completa";1;"Simple";"6.37 a 41";"8.De 3500 y más";1;"masculino";299
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"3.24 a 27";"3.1000 a 1499";1;"masculino";1
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"5.32 a 36";"4.1500 a 1999";1;"masculino";1
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"5.32 a 36";"5.2000 a 2499";1;"masculino";7
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"5.32 a 36";"6.2500 a 2999";1;"masculino";3
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"5.2000 a 2499";1;"masculino";4
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"6.2500 a 2999";1;"masculino";13
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"7.3000 a 3499";1;"masculino";57
2023;2;"Ciudad Autónoma de Buenos Aires";"4.25 a 29";"6.Terciaria/Universitaria Incompleta";1;"Simple";"6.37 a 41";"8.De 3500 y más";1;"masculino";62
